dt_referencia,valor
2018-01,4930.72
2018-02,4946.5
2018-03,4950.95
2018-04,4961.84
2018-05,4981.69
2018-06,5044.46
2018-07,5061.11
2018-08,5056.56
2018-09,5080.83
2018-10,5103.69
2018-11,5092.97
2018-12,5100.61
2019-01,5116.93
2019-02,5138.93
2019-03,5177.47
2019-04,5206.98
2019-05,5213.75
2019-06,5214.27
2019-07,5224.18
2019-08,5229.93
2019-09,5227.84
2019-10,5233.07
2019-11,5259.76
2019-12,5320.25
2020-01,5331.42
2020-02,5344.75
2020-03,5348.49
2020-04,5331.91
2020-05,5311.65
2020-06,5325.46
2020-07,5344.63
2020-08,5357.46
2020-09,5391.75
2020-10,5438.12
2020-11,5486.52
2020-12,5560.59
2021-01,5574.49
2021-02,5622.43
2021-03,5674.72
2021-04,5692.31
2021-05,5739.56
2021-06,5769.98
2021-07,5825.37
2021-08,5876.05
2021-09,5944.21
2021-10,6018.51
2021-11,6075.69
2021-12,6120.04
2022-01,6153.09
2022-02,6215.24
2022-03,6315.93
2022-04,6382.88
2022-05,6412.88
2022-06,6455.85
2022-07,6411.95
2022-08,6388.87
2022-09,6370.34
2022-10,6407.93
2022-11,6434.2
2022-12,6474.09
