cod_indicador,des_indicador,dt_referencia,valor,origem,fator_comercial,cluster
11,Índice Geral,2018-01-01,4930.72,Américas,1,4
11,Índice Geral,2018-02-01,4946.5,Américas,1,4
11,Índice Geral,2018-03-01,4950.95,Américas,1,4
11,Índice Geral,2018-04-01,4961.84,Américas,1,4
11,Índice Geral,2018-05-01,4981.69,Américas,1,4
11,Índice Geral,2018-06-01,5044.46,Américas,1,4
11,Índice Geral,2018-07-01,5061.11,Américas,1,4
11,Índice Geral,2018-08-01,5056.56,Américas,1,4
11,Índice Geral,2018-09-01,5080.83,Américas,1,4
11,Índice Geral,2018-10-01,5103.69,Américas,1,4
11,Índice Geral,2018-11-01,5092.97,Américas,1,4
11,Índice Geral,2018-12-01,5100.61,Américas,1,4
11,Índice Geral,2019-01-01,5116.93,Américas,1,4
11,Índice Geral,2019-02-01,5138.93,Américas,1,4
11,Índice Geral,2019-03-01,5177.47,Américas,1,4
11,Índice Geral,2019-04-01,5206.98,Américas,1,4
11,Índice Geral,2019-05-01,5213.75,Américas,1,4
11,Índice Geral,2019-06-01,5214.27,Américas,1,4
11,Índice Geral,2019-07-01,5224.18,Américas,1,4
11,Índice Geral,2019-08-01,5229.93,Américas,1,4
11,Índice Geral,2019-09-01,5227.84,Américas,1,4
11,Índice Geral,2019-10-01,5233.07,Américas,1,4
11,Índice Geral,2019-11-01,5259.76,Américas,1,4
11,Índice Geral,2019-12-01,5320.25,Américas,1,4
11,Índice Geral,2020-01-01,5331.42,Américas,1,4
11,Índice Geral,2020-02-01,5344.75,Américas,1,4
11,Índice Geral,2020-03-01,5348.49,Américas,1,4
11,Índice Geral,2020-04-01,5331.91,Américas,1,4
11,Índice Geral,2020-05-01,5311.65,Américas,1,4
11,Índice Geral,2020-06-01,5325.46,Américas,1,4
11,Índice Geral,2020-07-01,5344.63,Américas,1,4
11,Índice Geral,2020-08-01,5357.46,Américas,1,4
11,Índice Geral,2020-09-01,5391.75,Américas,1,4
11,Índice Geral,2020-10-01,5438.12,Américas,1,4
11,Índice Geral,2020-11-01,5486.52,Américas,1,4
11,Índice Geral,2020-12-01,5560.59,Américas,1,4
11,Índice Geral,2021-01-01,5574.49,Américas,1,4
11,Índice Geral,2021-02-01,5622.43,Américas,1,4
11,Índice Geral,2021-03-01,5674.72,Américas,1,4
11,Índice Geral,2021-04-01,5692.31,Américas,1,4
11,Índice Geral,2021-05-01,5739.56,Américas,1,4
11,Índice Geral,2021-06-01,5769.98,Américas,1,4
11,Índice Geral,2021-07-01,5825.37,Américas,1,4
11,Índice Geral,2021-08-01,5876.05,Américas,1,4
11,Índice Geral,2021-09-01,5944.21,Américas,1,4
11,Índice Geral,2021-10-01,6018.51,Américas,1,4
11,Índice Geral,2021-11-01,6075.69,Américas,1,4
11,Índice Geral,2021-12-01,6120.04,Américas,1,4
11,Índice Geral,2022-01-01,6153.09,Américas,1,4
11,Índice Geral,2022-02-01,6215.24,Américas,1,4
11,Índice Geral,2022-03-01,6315.93,Américas,1,4
11,Índice Geral,2022-04-01,6382.88,Américas,1,4
11,Índice Geral,2022-05-01,6412.88,Américas,1,4
11,Índice Geral,2022-06-01,6455.85,Américas,1,4
11,Índice Geral,2022-07-01,6411.95,Américas,1,4
11,Índice Geral,2022-08-01,6388.87,Américas,1,4
11,Índice Geral,2022-09-01,6370.34,Américas,1,4
